;;;Touches;;;;;;;Dribbles;;;;;Carries;;;Receiving;;;;
Squad;# Pl;Poss;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos
Arsenal;29;54.00.00;24196;2926;8613;11497;5714;934;22390;429;712;60.03.00;456;35;16310;97524;55338;18851;16349;86.07.00;448;451
Aston Villa;28;43.09.00;19827;2769;7305;8467;5350;783;17902;368;584;63.00.00;404;25;11556;74843;39577;14087;11530;81.08.00;409;428
Bournemouth;27;43.08.00;20687;2739;7757;8699;5398;834;18879;362;648;55.09.00;396;28;12187;73835;38863;14684;11942;81.03.00;522;437
Brighton;25;52.02.00;24066;2875;8783;10590;6196;883;22325;361;599;60.03.00;380;21;15610;91751;47720;18478;15696;84.09.00;474;512
Burnley;22;41.04.00;18704;2365;5993;8774;4845;659;16886;270;472;57.02.00;292;18;9851;55581;27135;12820;9926;77.04.00;406;355
Chelsea;27;60.07.00;29171;2484;8815;14257;7920;1206;27383;465;718;64.08.00;497;14;20509;113128;61622;23597;20664;87.06.00;474;479
Crystal Palace;25;44.05.00;20780;2485;7320;9546;5125;907;18844;447;713;62.07.00;473;24;12376;72789;38610;14788;12134;82.01.00;507;555
Everton;24;49.02.00;21843;2699;7590;9927;5595;889;20004;391;633;61.08.00;428;31;13247;78958;41901;16043;13240;82.05.00;490;472
Leicester City;24;57.06.00;25869;2349;8071;12497;6810;1001;24031;411;677;60.07.00;444;22;16888;93641;50934;20015;17332;86.06.00;469;479
Liverpool;24;63.04.00;29380;2179;7579;15101;8490;1325;27526;439;719;61.01.00;482;27;20118;104986;57175;24019;20887;87.00.00;477;426
Manchester City;24;66.09.00;31552;2218;7282;16360;10068;1629;30004;540;815;66.03.00;566;23;22893;127664;75386;26741;24266;90.07.00;332;396
Manchester Utd;29;56.02.00;25675;2321;7491;12596;7341;990;23880;475;780;60.09.00;506;39;17481;105426;60975;20060;17543;87.05.00;451;478
Newcastle Utd;28;38.06.00;18719;2502;7628;7783;4334;594;16999;427;657;65.00.00;457;18;10761;64354;34431;12987;10502;80.09.00;453;407
Norwich City;30;49.03.00;23022;3273;9318;9989;5160;734;21235;451;731;61.07.00;483;33;14490;86382;46863;17229;14610;84.08.00;478;466
Sheffield Utd;26;43.01.00;20791;2311;6363;8946;6493;824;19017;364;540;67.04.00;387;22;11989;64547;32548;15040;12054;80.01.00;418;371
Southampton;25;49.03.00;22029;2217;6593;10572;6062;900;20097;455;739;61.06.00;490;23;12531;73477;39027;15420;12481;80.09.00;515;431
Tottenham;29;52.02.00;24347;2655;7926;11794;6111;815;22571;467;804;58.01.00;510;33;15693;90195;49135;18554;15794;85.01.00;410;470
Watford;26;42.05.00;19956;2253;6442;9052;5489;875;18180;358;615;58.02.00;380;15;11588;64448;35230;14072;11207;79.06.00;446;411
West Ham;29;44.00.00;20828;2284;6462;9958;5606;832;19022;407;646;63.00.00;430;23;12520;76101;39292;15315;12388;80.09.00;399;408
Wolves;21;48.03.00;22382;2102;7283;10927;5473;843;20636;519;818;63.04.00;561;32;14113;82977;48556;16704;14072;84.02.00;447;454
